id,Timestamp,Consent: I have read and understand the above consent form. I certify that I am 18 years old or older. I indicate my willingness to voluntarily take part in this study. ,"How did you learn about this study? If you heard about it from more than one class, please select the one with the highest course number. If you heard about it from outside of any of these courses, please select the highest numbered of these courses that you have taken.",What is your affiliation with the Data Science undergraduate program at UCSD?,Do you have any affiliation with the Math department at UCSD?,Select your class standing:,Select any of the following probability or statistics courses you have either taken at UCSD or received transfer credit from UCSD for:,How would you rate your overall confidence with statistics and probability?,How would you rate your familiarity with Chebyshev's inequality?,How would you rate your python skills?
38,1/27/2026 16:23:45,Yes,DSC 140B,I am a Data Science major,Neither of the above,Fourth year (second year transfer),ECON 120A,4,3,3
39,2/3/2026 16:13:48,Yes,DSC 190,I am a Data Science major,I am a Math minor,Third year,MATH 183,4,3,4
40,2/17/2026 19:05:28,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,3,4,4
41,2/18/2026 1:29:38,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,1,2,3
42,2/18/2026 1:27:33,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,3,3,4
43,2/17/2026 19:10:57,Yes,DSC 10,Neither of the above,Neither of the above,First year,None of the above,3,2,4
44,2/17/2026 21:16:20,Yes,DSC 20,I am a Data Science minor,Neither of the above,Third year (first year transfer),MATH 180A,4,4,3
45,2/17/2026 19:39:09,Yes,DSC 20,I am a Data Science major,Neither of the above,Second year,None of the above,4,4,3
46,2/17/2026 22:39:13,Yes,DSC 10,Neither of the above,I am a Math major,First year,None of the above,2,1,2
47,2/17/2026 19:16:14,Yes,DSC 10,I am a Data Science minor,Neither of the above,Second year,None of the above,2,2,3
48,2/18/2026 1:59:17,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,ECON 120A,3,3,2
49,2/18/2026 1:28:08,Yes,DSC 20,I am a Data Science minor,I am a Math major,First year,None of the above,4,3,4
50,2/17/2026 22:59:14,Yes,DSC 20,I am a Data Science major,I am a Math minor,First year,MATH 180A,2,3,3
51,2/17/2026 19:14:31,Yes,DSC 10,I am a Data Science minor,I am a Math major,First year,None of the above,2,2,2
52,2/17/2026 21:25:16,Yes,DSC 20,I am a Data Science major,Neither of the above,Third year (first year transfer),MATH 180A,2,2,3
53,2/18/2026 2:55:49,Yes,DSC 10,Neither of the above,Neither of the above,First year,None of the above,1,1,2
54,2/17/2026 19:27:21,Yes,DSC 10,Neither of the above,I am a Math major,First year,None of the above,3,1,1
55,2/17/2026 22:49:39,Yes,DSC 10,I am a Data Science minor,I am a Math major,First year,None of the above,2,1,2
56,2/17/2026 20:56:32,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,3,4,3
57,2/17/2026 22:07:53,Yes,DSC 20,I am a Data Science major,Neither of the above,Second year,None of the above,4,5,3
58,2/18/2026 1:25:11,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,3,4,3
59,2/17/2026 20:30:29,Yes,DSC 10,Neither of the above,I am a Math major,First year,None of the above,3,1,2
60,2/19/2026 0:05:11,Yes,DSC 10,Neither of the above,I am a Math major,Fourth year,MATH 180A,3,3,4
61,2/18/2026 3:59:04,Yes,DSC 10,Neither of the above,Neither of the above,First year,None of the above,2,2,2
62,2/18/2026 23:11:15,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,3,3,3
63,2/18/2026 3:31:33,Yes,DSC 10,I am a Data Science minor,Neither of the above,First year,None of the above,4,1,3
64,2/18/2026 23:43:58,Yes,DSC 190,I am a Data Science major,I am a Math major,Fourth year,"MATH 180A, MATH 181A",5,3,5
65,2/18/2026 8:05:21,Yes,DSC 20,I am a Data Science minor,Neither of the above,First year,None of the above,3,3,3
66,2/19/2026 0:28:34,Yes,DSC 10,Neither of the above,Neither of the above,Fourth year,None of the above,5,2,1
67,2/18/2026 17:00:51,Yes,DSC 10,Neither of the above,Neither of the above,First year,None of the above,3,1,2
68,2/18/2026 8:12:16,Yes,DSC 10,Neither of the above,Neither of the above,Third year (first year transfer),"MATH 180A, ECON 120A",5,3,2
69,2/18/2026 23:42:52,Yes,DSC 180,I am a Data Science major,I am a Math major,Fourth year,"MATH 180A, MATH 181A, MATH 183, ECON 120A",5,4,5
70,2/19/2026 1:11:44,Yes,CSE 151A,Neither of the above,I am a Math major,Fourth year,"MATH 180A, MATH 181A",4,2,5
71,2/20/2026 5:07:53,Yes,DSC 30,I am a Data Science major,Neither of the above,Second year,None of the above,3,3,3
72,2/19/2026 0:48:51,Yes,DSC 180,I am a Data Science major,I am a Math minor,Fourth year (second year transfer),MATH 180A,4,2,4
73,2/20/2026 1:02:20,Yes,DSC 20,I am a Data Science major,I am a Math major,First year,None of the above,4,4,4
74,2/20/2026 7:36:23,Yes,DSC 140A,I am a Data Science minor,I am a Math major,Fourth year,"MATH 180A, MATH 181A",3,1,2
75,2/20/2026 18:20:13,Yes,DSC 30,I am a Data Science minor,Neither of the above,Third year,None of the above,3,3,4
76,2/20/2026 7:14:31,Yes,DSC 30,I am a Data Science minor,Neither of the above,Fourth year,MATH 183,4,2,4
77,2/20/2026 12:41:30,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,4,5,4
78,2/22/2026 20:50:18,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,3,2,4
79,2/22/2026 21:45:44,Yes,DSC 20,Neither of the above,Neither of the above,Third year,None of the above,2,1,4
80,2/22/2026 23:44:27,Yes,DSC 190,I am a Data Science major,Neither of the above,Third year,"MATH 180A, MATH 183",5,1,5
81,2/23/2026 19:30:02,Yes,DSC 80,I am a Data Science minor,I am a Math major,Fourth year (second year transfer),"MATH 180A, ECON 120A",4,4,4
82,2/23/2026 22:01:00,Yes,DSC 10,Neither of the above,I am a Math major,First year,None of the above,4,4,4
83,2/23/2026 3:37:51,Yes,DSC 20,I am a Data Science major,Neither of the above,First year,None of the above,3,4,2
84,2/24/2026 1:44:47,Yes,DSC 10,I am a Data Science minor,Neither of the above,First year,None of the above,3,2,4
85,2/23/2026 21:41:05,Yes,DSC 10,I am a Data Science minor,I am a Math major,First year,None of the above,1,1,3
86,2/23/2026 21:43:50,Yes,DSC 10,I am a Data Science minor,I am a Math major,Second year,ECON 120A,4,3,3
87,2/23/2026 21:41:17,Yes,DSC 10,Neither of the above,Neither of the above,First year,None of the above,3,3,3
88,2/23/2026 23:19:36,Yes,DSC 10,I am a Data Science minor,I am a Math major,First year,None of the above,4,4,4
89,2/24/2026 2:42:51,Yes,DSC 10,Neither of the above,Neither of the above,Third year,None of the above,4,3,2
90,2/24/2026 22:52:25,Yes,DSC 10,I am a Data Science minor,I am a Math major,First year,None of the above,4,3,3
91,2/24/2026 4:12:26,Yes,DSC 10,Neither of the above,I am a Math major,First year,MATH 180A,4,4,3
92,2/24/2026 2:11:19,Yes,DSC 10,Neither of the above,Neither of the above,First year,None of the above,4,1,3
93,2/24/2026 7:05:21,Yes,DSC 10,Neither of the above,Neither of the above,Third year (first year transfer),None of the above,2,1,1
